2026-05-03 23:46:43 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=log_roi task=regression
2026-05-03 23:46:43 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1199, 92)
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3384 params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-03 23:46:44 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=log_roi OOF=cvrmse=0.9960, mae=0.9445, mse=1.8011, rmse=1.3421 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_1 task=classification
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 92)
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5862 params={'model__C': np.float64(316.22776601683796)}
2026-05-03 23:46:44 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:46:47 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_1 OOF=auc_roc=0.5930, f1=0.7086, log_loss=0.7015, pr_auc=0.8530 inner_best_params={'model__C': np.float64(316.22776601683796)}
2026-05-03 23:46:47 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=linear target=roi_gt_2 task=classification
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 92)
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.6166 params={'model__C': np.float64(0.0031622776601683794)}
2026-05-03 23:46:47 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:46:49 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_2 OOF=auc_roc=0.6140, f1=0.6467, log_loss=0.6715, pr_auc=0.7398 inner_best_params={'model__C': np.float64(0.0031622776601683794)}
2026-05-03 23:46:49 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_linear dir=runs/phase_4/20260503_2346_standalone_positive_union_linear
2026-05-03 23:46:49 | INFO    | src.models.phase4.benchmark | Cell start: matrix=standalone_positive_union family=histgb X=(1199, 92)
2026-05-03 23:46:49 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_histgb dir=runs/phase_4/20260503_2346_standalone_positive_union_histgb
2026-05-03 23:46:49 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=histgb target=log_roi task=regression
2026-05-03 23:46:49 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=regression X.shape=(1199, 92)
2026-05-03 23:46:53 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=regression score=-1.3160 params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 40}
2026-05-03 23:46:53 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=regression
2026-05-03 23:46:56 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=log_roi OOF=cvrmse=0.9788, mae=0.9334, mse=1.7393, rmse=1.3188 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 40}
2026-05-03 23:46:56 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=histgb target=roi_gt_1 task=classification
2026-05-03 23:46:56 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 92)
2026-05-03 23:46:58 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5761 params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 20}
2026-05-03 23:46:58 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-03 23:47:02 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_1 OOF=auc_roc=0.5895, f1=0.7319, log_loss=0.6602, pr_auc=0.8401 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__min_samples_leaf': 20}
2026-05-03 23:47:02 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=histgb target=roi_gt_2 task=classification
2026-05-03 23:47:02 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=histgb task=classification X.shape=(1199, 92)
2026-05-03 23:47:05 | INFO    | src.models.phase4.cv | Inner CV best: family=histgb task=classification score=0.5983 params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-03 23:47:05 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=histgb task=classification
2026-05-03 23:47:11 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=histgb target=roi_gt_2 OOF=auc_roc=0.6093, f1=0.6556, log_loss=0.6637, pr_auc=0.7345 inner_best_params={'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__min_samples_leaf': 40}
2026-05-03 23:47:11 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_histgb dir=runs/phase_4/20260503_2346_standalone_positive_union_histgb
2026-05-03 23:47:11 | INFO    | src.models.phase4.benchmark | Cell start: matrix=standalone_positive_union family=random_forest X=(1199, 92)
2026-05-03 23:47:11 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_random_forest dir=runs/phase_4/20260503_2347_standalone_positive_union_random_forest
2026-05-03 23:47:11 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=random_forest target=log_roi task=regression
2026-05-03 23:47:11 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=regression X.shape=(1199, 92)
