2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear_svm, classification): auc_roc=0.6455, pr_auc=0.7837, f1=0.6551
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear_svm, classification): auc_roc=0.6205, pr_auc=0.7421, f1=0.6308
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear_svm, classification): auc_roc=0.6005, pr_auc=0.7175, f1=0.6526
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear_svm, classification): auc_roc=0.6001, pr_auc=0.7345, f1=0.6806
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear_svm, classification): auc_roc=0.6442, pr_auc=0.7753, f1=0.6498
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear_svm, classification): auc_roc=0.6146, pr_auc=0.7367, f1=0.6479
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear_svm, classification): auc_roc=0.5808, pr_auc=0.7115, f1=0.6197
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear_svm, classification): auc_roc=0.5973, pr_auc=0.7254, f1=0.6335
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear_svm, classification): auc_roc=0.5983, pr_auc=0.7077, f1=0.6505
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear_svm, classification): auc_roc=0.5549, pr_auc=0.6864, f1=0.6465
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear_svm, classification): auc_roc=0.6071, pr_auc=0.7307, f1=0.6000
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear_svm, classification): auc_roc=0.6267, pr_auc=0.7445, f1=0.6690
2026-05-03 23:58:05 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear_svm, classification): auc_roc=0.5508, pr_auc=0.7090, f1=0.6298
2026-05-03 23:58:06 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear_svm target=roi_gt_2 OOF=auc_roc=0.6039, f1=0.6488, pr_auc=0.7277 inner_best_params={'model__C': 0.01}
2026-05-03 23:58:06 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=all_five_linear_svm dir=runs/phase_4/20260503_2358_all_five_linear_svm
