2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.6032, pr_auc=0.7113, log_loss=0.6810, f1=0.6207
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5664, pr_auc=0.6748, log_loss=0.6853, f1=0.5926
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5687, pr_auc=0.6812, log_loss=0.6850, f1=0.6006
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5749, pr_auc=0.6976, log_loss=0.6847, f1=0.5535
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5816, pr_auc=0.7108, log_loss=0.6832, f1=0.5919
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6006, pr_auc=0.7139, log_loss=0.6803, f1=0.6000
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6347, pr_auc=0.7179, log_loss=0.6760, f1=0.6667
2026-05-04 14:30:38 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5079, pr_auc=0.6577, log_loss=0.6933, f1=0.5789
2026-05-04 14:30:40 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=linear target=roi_gt_2 OOF=auc_roc=0.5801, f1=0.5924, log_loss=0.6830, pr_auc=0.6933 inner_best_params={'model__C': np.float64(0.001)}
2026-05-04 14:30:40 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_linear dir=runs/phase_4_v2/20260504_1430_standalone_positive_union_linear
