matrix,family,tier,target,task,eval_set,metric,value,ci_lo,ci_hi,n_folds,best_params
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,train,auc_roc,0.8135309317525461,,,0,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,train,pr_auc,0.8659241713526571,,,0,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,train,log_loss,,,,0,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,train,f1,0.8170534268753373,,,0,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_global,auc_roc,0.6067457060343517,0.5728491961510344,0.6409158917045117,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_global,pr_auc,0.7288088047298655,0.6952139436080937,0.7639561333326177,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_global,log_loss,,,,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_global,f1,0.7770632368703109,0.7561094930671766,0.7966193457455425,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,auc_roc,0.6013849199503849,0.5672640932822067,0.6355057466185631,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,pr_auc,0.7289523761049751,0.6986059496361654,0.7592988025737848,15,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,log_loss,,,,0,"{'C': 10, 'gamma': 0.001}"
all_five,svm_rbf_unweighted,primary,roi_gt_2,classification,oof_perfold_mean,f1,0.7752164906453101,0.764135391158172,0.7862975901324482,15,"{'C': 10, 'gamma': 0.001}"
