matrix,target,task,metric,stack_value,best_base_value,n_train,meta_coefs,meta_intercept
all_five_mpnet,log_roi,regression,mae,0.9300182907465352,0.9296832209269514,1199,"{'linear': -0.09591809440720436, 'histgb': -0.000146774144293446, 'random_forest': 0.7741838199375677, 'svm_rbf': 1.617941389605109, 'lightgbm': 0.15168072564786414, 'xgboost': -0.004448288578839194}",-1.0171165310076287
all_five_mpnet,log_roi,regression,cvrmse,0.976316427293235,0.9735892408553456,1199,"{'linear': -0.09591809440720436, 'histgb': -0.000146774144293446, 'random_forest': 0.7741838199375677, 'svm_rbf': 1.617941389605109, 'lightgbm': 0.15168072564786414, 'xgboost': -0.004448288578839194}",-1.0171165310076287
all_five_mpnet,roi_gt_1,classification,auc_roc,0.6149552064106605,0.6152523297168324,1199,"{'linear': 0.600847924791206, 'histgb': 1.7731607778596281, 'random_forest': -0.6925055291768065, 'svm_rbf': 1.6633334897628818, 'lightgbm': 1.7739552632541673, 'xgboost': -0.8736521057281719}",-0.924913532947154
all_five_mpnet,roi_gt_1,classification,pr_auc,0.861019185424085,0.8711914615246628,1199,"{'linear': 0.600847924791206, 'histgb': 1.7731607778596281, 'random_forest': -0.6925055291768065, 'svm_rbf': 1.6633334897628818, 'lightgbm': 1.7739552632541673, 'xgboost': -0.8736521057281719}",-0.924913532947154
all_five_mpnet,roi_gt_1,classification,f1,0.8939114391143912,0.8942263279445728,1199,"{'linear': 0.600847924791206, 'histgb': 1.7731607778596281, 'random_forest': -0.6925055291768065, 'svm_rbf': 1.6633334897628818, 'lightgbm': 1.7739552632541673, 'xgboost': -0.8736521057281719}",-0.924913532947154
all_five_mpnet,roi_gt_1,classification,log_loss,0.476329952103472,0.4789475334876323,1199,"{'linear': 0.600847924791206, 'histgb': 1.7731607778596281, 'random_forest': -0.6925055291768065, 'svm_rbf': 1.6633334897628818, 'lightgbm': 1.7739552632541673, 'xgboost': -0.8736521057281719}",-0.924913532947154
all_five_mpnet,roi_gt_2,classification,auc_roc,0.6469493844049248,0.6397568019455844,1199,"{'linear': -0.5366485724669975, 'histgb': 0.8689689951319579, 'random_forest': -0.8582847619935758, 'svm_rbf': 2.6329380785447447, 'lightgbm': -0.7049323326769791, 'xgboost': 3.023693938159879}",-1.5591569637467715
all_five_mpnet,roi_gt_2,classification,pr_auc,0.7475904954165438,0.7539195243465591,1199,"{'linear': -0.5366485724669975, 'histgb': 0.8689689951319579, 'random_forest': -0.8582847619935758, 'svm_rbf': 2.6329380785447447, 'lightgbm': -0.7049323326769791, 'xgboost': 3.023693938159879}",-1.5591569637467715
all_five_mpnet,roi_gt_2,classification,f1,0.7652556349642661,0.7815482502651113,1199,"{'linear': -0.5366485724669975, 'histgb': 0.8689689951319579, 'random_forest': -0.8582847619935758, 'svm_rbf': 2.6329380785447447, 'lightgbm': -0.7049323326769791, 'xgboost': 3.023693938159879}",-1.5591569637467715
all_five_mpnet,roi_gt_2,classification,log_loss,0.6227293320995838,0.6316976893973495,1199,"{'linear': -0.5366485724669975, 'histgb': 0.8689689951319579, 'random_forest': -0.8582847619935758, 'svm_rbf': 2.6329380785447447, 'lightgbm': -0.7049323326769791, 'xgboost': 3.023693938159879}",-1.5591569637467715
