2026-05-04 14:53:32 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_2 task=classification
2026-05-04 14:53:32 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1460, 92)
2026-05-04 14:53:33 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5850 params={'model__C': np.float64(0.001)}
2026-05-04 14:53:33 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (linear, classification): auc_roc=0.5997, pr_auc=0.7208, log_loss=0.6809, f1=0.5741
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (linear, classification): auc_roc=0.5773, pr_auc=0.6866, log_loss=0.6846, f1=0.5872
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (linear, classification): auc_roc=0.5261, pr_auc=0.6665, log_loss=0.6890, f1=0.5957
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (linear, classification): auc_roc=0.6512, pr_auc=0.7581, log_loss=0.6722, f1=0.6506
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (linear, classification): auc_roc=0.5706, pr_auc=0.6801, log_loss=0.6848, f1=0.5901
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (linear, classification): auc_roc=0.5211, pr_auc=0.6760, log_loss=0.6908, f1=0.5740
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (linear, classification): auc_roc=0.6504, pr_auc=0.7572, log_loss=0.6730, f1=0.6402
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (linear, classification): auc_roc=0.5990, pr_auc=0.7021, log_loss=0.6809, f1=0.6154
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (linear, classification): auc_roc=0.5610, pr_auc=0.6882, log_loss=0.6850, f1=0.6190
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (linear, classification): auc_roc=0.5889, pr_auc=0.7002, log_loss=0.6818, f1=0.6242
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (linear, classification): auc_roc=0.5759, pr_auc=0.6885, log_loss=0.6847, f1=0.5776
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (linear, classification): auc_roc=0.5889, pr_auc=0.7135, log_loss=0.6826, f1=0.5912
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (linear, classification): auc_roc=0.6029, pr_auc=0.7208, log_loss=0.6789, f1=0.6130
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (linear, classification): auc_roc=0.6497, pr_auc=0.7254, log_loss=0.6741, f1=0.6859
2026-05-04 14:53:33 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (linear, classification): auc_roc=0.5101, pr_auc=0.6652, log_loss=0.6919, f1=0.5865
2026-05-04 14:53:35 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=linear target=roi_gt_2 OOF=auc_roc=0.5835, f1=0.6134, log_loss=0.6821, pr_auc=0.6988 inner_best_params={'model__C': np.float64(0.001)}
2026-05-04 14:53:35 | INFO    | src.experiments.save_run | Run finished: phase=phase_4_v2 name=standalone_positive_union_mpnet_linear dir=runs/phase_4_v2/20260504_1453_standalone_positive_union_mpnet_linear
